Province,AKP(%),CHP(%),DEM(%),MHP(%),YRP(%),IYIP(%),ZAFER(%)
Kirklareli,-15.4,48.42,0.44,51.41,1.84,7.69,1.55
Edirne,50.29,52.62,1.0,-12.2,0.21,7.25,2.59
Tekirdag,37.32,53.57,4.17,-8.44,4.46,4.12,2.73
Istanbul,37.0,57.73,-0.29,-2.65,2.56,1.24,2.84
Kocaeli,42.16,31.23,4.19,-6.92,7.73,9.16,4.6
Sakarya,46.01,15.79,1.0,-17.85,16.24,14.52,4.12
Bursa,34.66,60.01,1.06,-10.23,5.81,3.03,2.87
Bilecik,33.64,63.49,1.07,-18.58,8.91,3.81,2.08
Balikesir,43.49,51.27,1.03,-21.08,2.42,19.57,1.16
Canakkale,12.31,36.94,1.49,-4.12,0.46,49.19,1.97
Duzce,32.99,15.19,0.43,-12.4,38.51,17.5,2.09
Bolu,20.32,62.96,0.63,9.55,2.25,1.19,0.79
Zonguldak,38.47,59.15,-0.03,-6.8,3.13,1.17,1.8
Bartin,-6.0,60.5,0.27,30.17,5.52,3.61,2.84
Kastamonu,28.02,66.83,0.02,-4.51,3.88,1.08,1.47
Karabuk,29.43,13.05,0.28,13.78,29.79,7.58,2.35
Cankiri,18.2,4.27,0.12,67.62,2.25,5.42,0.73
Corum,34.62,38.63,0.04,-2.39,18.86,2.93,2.79
Sinop,41.12,48.47,0.2,-4.2,2.27,6.52,1.43
Amasya,21.05,51.98,-0.09,22.18,1.53,0.91,0.97
Samsun,35.46,25.43,0.05,-9.79,16.03,27.72,1.99
Eskisehir,39.48,55.31,0.73,-7.46,2.41,4.79,3.29
Ankara,28.07,68.36,0.49,-5.18,4.2,1.21,2.01
Kirikkale,15.38,64.73,0.11,13.38,-8.26,12.21,0.91
Kirsehir,34.67,69.81,0.41,-15.44,3.11,3.76,1.71
Nevsehir,28.23,3.08,0.13,-8.68,1.86,72.8,1.28
Kutahya,15.07,47.03,0.19,21.13,9.61,2.95,1.49
Manisa,-24.47,64.17,-0.19,30.56,4.59,19.23,1.36
Izmir,38.36,51.6,3.35,-5.31,1.53,4.85,3.36
Afyonkarahisar,23.87,64.14,0.2,-8.52,2.27,15.31,0.88
Denizli,38.56,38.31,1.29,-0.69,-3.85,20.81,2.2
Usak,16.63,42.76,0.28,-0.28,2.64,34.93,0.91
Aydin,44.11,56.16,2.49,-14.36,1.38,5.69,2.16
Mugla,33.75,52.61,1.4,-12.01,1.44,16.33,2.36
Burdur,48.34,49.83,0.39,-11.59,1.98,4.48,3.47
Antalya,45.71,57.55,2.61,-16.23,1.55,3.57,2.21
Isparta,41.97,21.49,0.21,-5.93,1.42,33.13,5.45
Konya,46.59,13.2,1.82,-12.06,27.7,10.67,4.52
